iso14443a card select failed
#db# Measuring HF antenna, press button to exit       
#db# 3319 mV       
#db# 3577 mV       
#db# 3480 mV       
#db# 3351 mV       
#db# 3609 mV       
#db# 3609 mV       
#db# 3544 mV       
#db# 3577 mV       
#db# 3609 mV       
#db# 3544 mV       
#db# 3641 mV       
#db# 3416 mV       
#db# 3641 mV       
#db# 3673 mV       
#db# 3544 mV       
#db# 3673 mV       
#db# 3609 mV       
#db# 3351 mV       
#db# 3512 mV       
#db# 3544 mV       
#db# 3448 mV       
#db# 3351 mV       
#db# 3383 mV       
#db# 3673 mV       
#db# 3673 mV       
#db# 3512 mV       
#db# 3673 mV       
#db# 3706 mV       
#db# 3448 mV       
#db# 3351 mV       
#db# 3609 mV       
#db# 3673 mV       
#db# 3351 mV       
#db# 3577 mV       
#db# 3673 mV       
#db# 3416 mV       
#db# 3641 mV       
#db# 3673 mV       
#db# 3480 mV       
#db# 3383 mV       
#db# 3351 mV       
#db# 3641 mV       
#db# 3416 mV       
#db# 3383 mV       
#db# 3383 mV       
#db# 3416 mV       
#db# 3319 mV       
#db# 3641 mV       
#db# 3512 mV       
#db# 3512 mV       
#db# 3416 mV       
#db# 3512 mV       
#db# 3416 mV       
#db# 3351 mV       
#db# 3448 mV       
#db# 3641 mV       
#db# 3351 mV       
#db# 3512 mV       
#db# 3383 mV       
#db# 3673 mV       
#db# 3448 mV       
#db# 3416 mV       
#db# 3673 mV       
#db# 3480 mV       
#db# 3577 mV       
#db# 3706 mV       
#db# 3641 mV       
#db# 3544 mV       
#db# 3480 mV       
#db# 3673 mV       
#db# 3641 mV       
#db# 3383 mV       
#db# 3351 mV       
#db# 3641 mV       
#db# 3609 mV       
#db# 3383 mV       
#db# 3544 mV       
#db# 3609 mV       
#db# 3416 mV       
#db# 3512 mV       
#db# 3673 mV       
#db# 3448 mV       
#db# 3544 mV       
#db# 3673 mV       
#db# 3480 mV       
#db# 3448 mV       
#db# 3577 mV       
#db# 3641 mV       
#db# 3673 mV       
#db# 3416 mV       
#db# 3577 mV       
#db# 3351 mV       
#db# 3609 mV       
#db# 3544 mV       
#db# 3448 mV       
#db# 3641 mV       
#db# 3480 mV       
#db# 3416 mV       
#db# 3673 mV       
#db# 3512 mV       
#db# 3383 mV       
#db# 3577 mV       
#db# 3577 mV       
#db# 3351 mV       
#db# 3416 mV       
#db# 3416 mV       
#db# 3416 mV       
#db# 3351 mV       
#db# 3319 mV       
#db# 3448 mV       
#db# 3383 mV       
#db# 3609 mV       
#db# 3641 mV       
#db# 3480 mV       
#db# 3416 mV       
#db# 3512 mV       
#db# 3577 mV       
#db# 3706 mV       
#db# 3480 mV       
